GRADATION,AGGREGATE SOURCE,BINDER TYPE,DESIGN AGGREGATE GRADATION,AV,COMPACTION,PERMANENT STRAIN (%),CTINDEX,Gmb,AV,VMA,VFB
26.5,18,822,5.79,6.917,35,3.433,45.735,2.23,6.917,17.619,61.207
26.5,18,822,5.79,5.415,50,2.122,41.085,2.266,5.415,16.289,67.209
26.5,18,822,5.79,4.039,75,1.619,34.05,2.299,4.039,15.071,73.628
26.5,18,822,5.79,3.424,90,1.401,28.12,2.314,3.424,14.527,76.363
26.5,18,822,5.79,2.891,110,1.22,21.26,2.327,2.891,14.055,79.562
26.5,18,822,4.71,6.77,35,2.201,25.13,2.266,6.77,15.775,57.352
26.5,18,822,4.71,5.234,50,1.419,21.505,2.304,5.234,14.388,63.841
26.5,18,822,4.71,4.094,75,1.171,20.61,2.331,4.094,13.358,70.001
26.5,18,822,4.71,3.333,90,0.985,18.95,2.35,3.333,12.67,73.546
26.5,18,822,4.71,2.834,110,0.963,18.98,2.362,2.834,12.22,76.886
26.5,18,822,4.75,6.846,35,1.984,30.325,2.258,6.846,16.63,59.231
26.5,18,822,4.75,5.318,50,1.63,25.48,2.295,5.318,15.264,65.491
26.5,18,822,4.75,4.007,75,1.539,23.55,2.327,4.007,14.09,71.815
26.5,18,822,4.75,3.383,90,1.031,20.34,2.342,3.383,13.531,74.954
26.5,18,822,4.75,2.841,110,0.833,18.17,2.355,2.841,13.046,78.374
26.5,18,822,5.82,6.93,35,3.186,52.025,2.228,6.93,18.141,62.638
26.5,18,822,5.82,5.431,50,2.727,34.69,2.264,5.431,16.823,68.481
26.5,18,822,5.82,4.014,75,1.891,33.775,2.298,4.014,15.576,74.674
26.5,18,822,5.82,3.488,90,1.539,30.795,2.311,3.488,15.113,77.295
26.5,18,822,5.82,2.418,110,1.42,26.76,2.336,2.418,14.172,84.191
26.5,18,1415,5.27,6.887,35,2.103,44.23,2.239,6.887,17.355,60.315
26.5,18,1415,5.27,5.377,50,1.862,31.795,2.276,5.377,16.015,66.422
26.5,18,1415,5.27,4.037,75,1.247,33.73,2.308,4.037,14.825,72.768
26.5,18,1415,5.27,3.464,90,1.094,27.325,2.322,3.464,14.316,75.804
26.5,18,1415,5.27,2.386,110,0.911,22.97,2.348,2.386,13.36,82.195
26.5,18,1415,5.79,6.889,35,2.958,51.13,2.229,6.889,17.758,61.207
26.5,18,1415,5.79,5.389,50,2.069,45.62,2.265,5.389,16.432,67.209
26.5,18,1415,5.79,4.014,75,1.643,37.855,2.298,4.014,15.218,73.628
26.5,18,1415,5.79,3.488,90,1.367,33.18,2.311,3.488,14.753,76.363
26.5,18,1415,5.79,2.911,110,1.472,24.86,2.324,2.911,14.244,79.562
26.5,18,1415,4.71,6.787,35,1.598,29.31,2.264,6.787,15.913,57.352
26.5,18,1415,4.71,5.254,50,1.426,25.335,2.301,5.254,14.53,63.841
26.5,18,1415,4.71,4.027,75,1.274,22.085,2.331,4.027,13.424,70.001
26.5,18,1415,4.71,3.402,90,1.228,20.455,2.346,3.402,12.859,73.546
26.5,18,1415,4.71,2.859,110,0.718,20.315,2.36,2.859,12.37,76.886
26.5,18,1415,4.75,6.865,35,1.758,33.23,2.255,6.865,16.838,59.231
26.5,18,1415,4.75,5.341,50,1.625,27.22,2.292,5.341,15.478,65.491
26.5,18,1415,4.75,4.033,75,1.501,27.47,2.323,4.033,14.31,71.815
26.5,18,1415,4.75,3.455,90,1.024,23.73,2.337,3.455,13.794,74.954
26.5,18,1415,4.75,2.87,110,0.775,21.195,2.352,2.87,13.271,78.374
26.5,18,1415,5.82,6.913,35,3.296,55.2,2.221,6.913,18.503,62.638
26.5,18,1415,5.82,5.42,50,2.637,38.705,2.257,5.42,17.195,68.481
26.5,18,1415,5.82,4.052,75,1.807,37.335,2.289,4.052,15.998,74.674
26.5,18,1415,5.82,3.528,90,1.584,33.945,2.302,3.528,15.539,77.295
26.5,18,1415,5.82,2.285,110,1.522,29.67,2.331,2.285,14.451,84.191
26.5,18,3322,5.27,6.965,35,1.992,57.805,2.23,6.965,17.793,60.859
26.5,18,3322,5.27,5.422,50,1.643,42.655,2.267,5.422,16.431,66.998
26.5,18,3322,5.27,4.047,75,1.345,50.18,2.3,4.047,15.215,73.403
26.5,18,3322,5.27,3.52,90,1.057,40.7,2.313,3.52,14.75,76.133
26.5,18,3322,5.27,2.899,110,0.848,57.355,2.328,2.899,14.201,79.588
26.5,18,3322,5.79,7.038,35,2.518,72.54,2.221,7.038,18.147,61.218
26.5,18,3322,5.79,5.464,50,2.16,63.32,2.258,5.464,16.761,67.402
26.5,18,3322,5.79,4.009,75,1.621,51.56,2.293,4.009,15.481,74.102
26.5,18,3322,5.79,3.529,90,1.38,44.905,2.305,3.529,15.058,76.562
26.5,18,3322,5.79,2.911,110,1.044,33.95,2.319,2.911,14.514,79.942
26.5,18,3322,4.71,6.829,35,1.369,51.835,2.26,6.829,16.143,57.695
26.5,18,3322,4.71,5.302,50,0.994,41.445,2.297,5.302,14.768,64.099
26.5,18,3322,4.71,4.079,75,1.024,32.885,2.327,4.079,13.667,70.156
26.5,18,3322,4.71,3.411,90,0.92,31.06,2.343,3.411,13.066,73.898
26.5,18,3322,4.71,2.869,110,0.693,28.955,2.356,2.869,12.578,77.191
26.5,18,3322,4.75,6.939,35,1.522,52.255,2.246,6.939,17.266,59.809
26.5,18,3322,4.75,5.382,50,1.439,45.145,2.283,5.382,15.882,66.112
26.5,18,3322,4.75,4.037,75,1.307,36.57,2.316,4.037,14.686,72.513
26.5,18,3322,4.75,3.505,90,0.804,30.48,2.328,3.505,14.213,75.337
26.5,18,3322,4.75,2.878,110,0.673,24.54,2.344,2.878,13.656,78.926
26.5,18,3322,5.82,7.056,35,3.134,84.485,2.234,7.056,18.092,60.999
26.5,18,3322,5.82,5.474,50,2.687,61.015,2.272,5.474,16.698,67.217
26.5,18,3322,5.82,4.012,75,1.525,59.19,2.308,4.012,15.409,73.967
26.5,18,3322,5.82,3.573,90,1.299,50.84,2.318,3.573,15.023,76.214
26.5,18,3322,5.82,2.233,110,1.174,49.97,2.35,2.233,13.841,83.873
